GameID,Squad,Season,Competition,GameType,Opposition,Home/Away,PF,PA,Result,Captain,VC1,VC2,Number,Player,Position,PositionType
Warlingham (H),2nd,2024/25,Friendly,Friendly,Warlingham,H,24,21,W,Pete Morley,George Beet,Sam Lindsay-McCall,9,Chris Taylor,Scrum Half,Backs
Haywards Heath (H),2nd,2024/25,Counties 3 Sussex,League,Haywards Heath,H,53,5,W,George Beet,,,9,Jack Billin,Scrum Half,Backs
Barns Green (H),2nd,2024/25,Counties 3 Sussex,League,Barns Green,H,24,31,L,Tim Morris,,,9,Lukis Waite,Scrum Half,Backs
Jersey Royals (A),2nd,2024/25,Counties 3 Sussex,League,Jersey Royals,A,18,31,L,,,,9,Jack Billin,Scrum Half,Backs
Eastbourne (H),2nd,2024/25,Counties 3 Sussex,League,Eastbourne,H,29,22,W,John Peaty,,,9,Mark Lewis,Scrum Half,Backs
Eastbourne (A),2nd,2024/25,Friendly,Friendly,Eastbourne,A,26,19,W,Pete Morley,,,9,Kit Clarke,Scrum Half,Backs
Old Rutlishians (H),2nd,2024/25,Friendly,Friendly,Old Rutlishians,H,7,24,L,Pete Morley,,,9,James Jenkins,Scrum Half,Backs
Newick (A),2nd,2024/25,Counties 3 Sussex,League,Newick,A,27,10,W,Pete Morley,,,9,Sam Spriddell,Scrum Half,Backs
Horsham (A),2nd,2024/25,Counties 3 Sussex,League,Horsham,A,7,41,L,Pete Morley,,,9,Patrick Thomson,Scrum Half,Backs
Barns Green (A),2nd,2024/25,Counties 3 Sussex,League,Barns Green,A,0,27,L,Pete Morley,,,9,Jack Billin,Scrum Half,Backs
Haywards Heath (A),2nd,2024/25,Counties 3 Sussex,League,Haywards Heath,A,5,26,L,George Beet,,,9,Jack Billin,Scrum Half,Backs
Burgess Hill (H),2nd,2024/25,Counties 3 Sussex,League,Burgess Hill,H,15,8,W,Max Crawley-Moore,,,9,Patrick Thomson,Scrum Half,Backs
Eastbourne (A)2,2nd,2024/25,Counties 3 Sussex,League,Eastbourne,A,10,35,L,Max Crawley-Moore,,,9,Chris Taylor,Scrum Half,Backs
Jersey Royals (H),2nd,2024/25,Counties 3 Sussex,League,Jersey Royals,H,27,17,W,Rory Evans,,,9,Chris Taylor,Scrum Half,Backs
Crawley (H),1st,2021/22,Friendly,Friendly,Crawley,H,34,12,W,Jack Andrews,James Funnell,,10,Dan Poulton,Fly Half,Backs
University of Brighton (A),1st,2021/22,Friendly,Friendly,University of Brighton,A,0,43,L,Jack Andrews,James Funnell,,10,Dan Poulton,Fly Half,Backs
Metropolitan Police (H),1st,2021/22,Friendly,Friendly,Metropolitan Police,H,29,28,W,Jack Andrews,,,10,Dan Poulton,Fly Half,Backs
London Irish (A),1st,2021/22,Friendly,Friendly,London Irish,A,10,33,L,Jack Andrews,Sam Lindsay-McCall,,10,Dan Poulton,Fly Half,Backs
Horsham (A),1st,2021/22,Friendly,Friendly,Horsham,A,26,56,L,Jack Andrews,James Funnell,,10,Dan Poulton,Fly Half,Backs
Purley John Fisher (H),1st,2021/22,Friendly,Friendly,Purley John Fisher,H,19,33,L,Jack Andrews,James Funnell,,10,Dan Poulton,Fly Half,Backs
Eastbourne (H),1st,2021/22,Sussex 1,League,Eastbourne,H,47,0,W,Jack Andrews,,,10,Dan Poulton,Fly Half,Backs
Hellingly (A),1st,2021/22,Sussex 1,League,Hellingly,A,27,12,W,Jack Andrews,James Funnell,,10,Dan Poulton,Fly Half,Backs
Burgess Hill (H),1st,2021/22,Sussex 1,League,Burgess Hill,H,64,15,W,Jack Andrews,James Funnell,,10,Dan Poulton,Fly Half,Backs
Lewes (H),1st,2021/22,Sussex 1,League,Lewes,H,87,10,W,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Uckfield (H),1st,2021/22,Sussex 1,League,Uckfield,H,43,0,W,Max Crawley-Moore,John Peaty,,10,Dan Poulton,Fly Half,Backs
Seaford (A),1st,2021/22,Sussex 1,League,Seaford,A,36,21,W,Max Crawley-Moore,John Peaty,,10,Oli Billin,Fly Half,Backs
Horsham (H),1st,2021/22,Friendly,Friendly,Horsham,H,44,26,W,Max Crawley-Moore,John Peaty,,10,Dan Poulton,Fly Half,Backs
Lewes (A),1st,2021/22,Sussex 1,League,Lewes,A,36,12,W,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Uckfield (A),1st,2021/22,Sussex 1,League,Uckfield,A,21,19,W,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Seaford (H),1st,2021/22,Sussex 1,League,Seaford,H,67,5,W,Max Crawley-Moore,John Peaty,,10,Dan Poulton,Fly Half,Backs
Eastbourne (A),1st,2021/22,Sussex 1,League,Eastbourne,A,36,3,W,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Burgess Hill (A),1st,2021/22,Sussex 1,League,Burgess Hill,A,64,30,W,Max Crawley-Moore,John Peaty,,10,Dan Poulton,Fly Half,Backs
Eastbourne (A)2,1st,2021/22,Sussex Cup,Cup,Eastbourne,A,35,31,W,Max Crawley-Moore,,,10,Toby Rowe,Fly Half,Backs
Uckfield (H)2,1st,2021/22,Sussex Cup,Cup,Uckfield,H,57,7,W,Max Crawley-Moore,John Peaty,,10,Dan Poulton,Fly Half,Backs
Lewes (A),1st,2022/23,Counties 2 Sussex,League,Lewes,A,69,7,W,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Uckfield (H),1st,2022/23,Counties 2 Sussex,League,Uckfield,H,58,3,W,Max Crawley-Moore,John Peaty,,10,Dan Poulton,Fly Half,Backs
Crawley (A),1st,2022/23,Counties 2 Sussex,League,Crawley,A,39,36,W,Max Crawley-Moore,John Peaty,,10,Ben Hogan,Fly Half,Backs
Shoreham (H),1st,2022/23,Counties 2 Sussex,League,Shoreham,H,70,11,W,Max Crawley-Moore,John Peaty,,10,Dan Poulton,Fly Half,Backs
Seaford (A),1st,2022/23,Counties 2 Sussex,League,Seaford,A,62,17,W,Max Crawley-Moore,,,10,Joe Terry,Fly Half,Backs
Burgess Hill (H),1st,2022/23,Counties 2 Sussex,League,Burgess Hill,H,53,5,W,Max Crawley-Moore,John Peaty,,10,Oli Billin,Fly Half,Backs
Eastbourne (A),1st,2022/23,Counties 2 Sussex,League,Eastbourne,A,15,29,L,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Pulborough (H),1st,2022/23,Counties 2 Sussex,League,Pulborough,H,27,31,L,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Haywards Heath (A),1st,2022/23,Counties 2 Sussex,League,Haywards Heath,A,35,17,W,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Uckfield (A),1st,2022/23,Counties 2 Sussex,League,Uckfield,A,22,13,W,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Crawley (H),1st,2022/23,Counties 2 Sussex,League,Crawley,H,75,12,W,Max Crawley-Moore,Aaron Boczek,,10,Dan Poulton,Fly Half,Backs
Shoreham (A),1st,2022/23,Counties 2 Sussex,League,Shoreham,A,57,14,W,John Peaty,,,10,Ben Hogan,Fly Half,Backs
Seaford (H),1st,2022/23,Counties 2 Sussex,League,Seaford,H,43,5,W,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Burgess Hill (A),1st,2022/23,Counties 2 Sussex,League,Burgess Hill,A,63,0,W,,,,10,Dan Poulton,Fly Half,Backs
Eastbourne (H),1st,2022/23,Counties 2 Sussex,League,Eastbourne,H,38,32,W,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Pulborough (A),1st,2022/23,Counties 2 Sussex,League,Pulborough,A,35,14,W,Max Crawley-Moore,,,10,Oli Billin,Fly Half,Backs
Haywards Heath (H),1st,2022/23,Counties 2 Sussex,League,Haywards Heath,H,54,17,W,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Old Rutlishians (A),1st,2022/23,Counties 2 Championship,League,Old Rutlishians,A,26,22,W,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Cheshunt (H),1st,2022/23,Counties 2 Championship,League,Cheshunt,H,29,25,W,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Wensleydale (A),1st,2022/23,Counties 2 Championship,League,Wensleydale,A,21,35,L,Max Crawley-Moore,,,10,Dan Poulton,Fly Half,Backs
Old Colfeians (H),1st,2023/24,Friendly,Friendly,Old Colfeians,H,19,36,L,Connor Leggat,Oli Billin,Sam Lindsay-McCall,10,Oli Billin,Fly Half,Backs
Heathfield & Waldron (H),1st,2023/24,Friendly,Friendly,Heathfield & Waldron,H,0,5,L,Max Crawley-Moore,,,10,Oli Billin,Fly Half,Backs
Twickenham (H),1st,2023/24,Counties 1 Surrey/Sussex,League,Twickenham,H,8,48,L,John Peaty,Dan Poulton,,10,Dan Poulton,Fly Half,Backs
Trinity (A),1st,2023/24,Counties 1 Surrey/Sussex,League,Trinity,A,27,22,W,Max Crawley-Moore,Connor Leggat,,10,Oli Billin,Fly Half,Backs
KCS Old Boys (H),1st,2023/24,Counties 1 Surrey/Sussex,League,KCS Old Boys,H,22,26,L,Max Crawley-Moore,,,10,Oli Billin,Fly Half,Backs
Old Tiffinians (A),1st,2023/24,Counties 1 Surrey/Sussex,League,Old Tiffinians,A,14,63,L,Max Crawley-Moore,Ryland Thomas,,10,Tom Marr,Fly Half,Backs
Kingston (H),1st,2023/24,Counties 1 Surrey/Sussex,League,Kingston,H,20,11,W,Max Crawley-Moore,Ryland Thomas,,10,Dan Poulton,Fly Half,Backs
Old Walcountians (A),1st,2023/24,Counties 1 Surrey/Sussex,League,Old Walcountians,A,25,34,L,Max Crawley-Moore,Ryland Thomas,,10,Oli Billin,Fly Half,Backs
Teddington (H),1st,2023/24,Counties 1 Surrey/Sussex,League,Teddington,H,10,27,L,Ryland Thomas,Dan Poulton,,10,Dan Poulton,Fly Half,Backs
Eastbourne (A),1st,2023/24,Counties 1 Surrey/Sussex,League,Eastbourne,A,24,26,L,Ryland Thomas,Dan Poulton,,10,Dan Poulton,Fly Half,Backs
Horsham (A),1st,2023/24,Bob Rogers Cup,Cup,Horsham,A,20,31,L,Ryland Thomas,Oli Billin,,10,Oli Billin,Fly Half,Backs
Weybridge Vandals (H),1st,2023/24,Counties 1 Surrey/Sussex,League,Weybridge Vandals,H,24,28,L,Ryland Thomas,Connor Leggat,,10,Dan Poulton,Fly Half,Backs
Hove (A),1st,2023/24,Counties 1 Surrey/Sussex,League,Hove,A,26,12,W,Ryland Thomas,Connor Leggat,,10,Dan Poulton,Fly Half,Backs
Trinity (H),1st,2023/24,Counties 1 Surrey/Sussex,League,Trinity,H,41,10,W,Ryland Thomas,Connor Leggat,,10,Dan Poulton,Fly Half,Backs
KCS Old Boys (A),1st,2023/24,Counties 1 Surrey/Sussex,League,KCS Old Boys,A,28,44,L,Ryland Thomas,Connor Leggat,,10,Dan Poulton,Fly Half,Backs
Old Tiffinians (H),1st,2023/24,Counties 1 Surrey/Sussex,League,Old Tiffinians,H,18,39,L,Ryland Thomas,Dan Poulton,,10,Oli Billin,Fly Half,Backs
Old Walcountians (H),1st,2023/24,Counties 1 Surrey/Sussex,League,Old Walcountians,H,38,19,W,Ryland Thomas,Dan Poulton,,10,Dan Poulton,Fly Half,Backs
Kingston (A),1st,2023/24,Counties 1 Surrey/Sussex,League,Kingston,A,48,7,W,Ryland Thomas,Connor Leggat,,10,Oli Billin,Fly Half,Backs
Teddington (A),1st,2023/24,Counties 1 Surrey/Sussex,League,Teddington,A,0,26,L,Ryland Thomas,Connor Leggat,,10,Dan Poulton,Fly Half,Backs
Eastbourne (H),1st,2023/24,Counties 1 Surrey/Sussex,League,Eastbourne,H,15,14,W,Ryland Thomas,Connor Leggat,,10,Dan Poulton,Fly Half,Backs
Brighton 2 (A),1st,2023/24,Bob Rogers Plate,Cup,Brighton 2,A,19,13,W,Mark Oliver,Aaron Boczek,Ryland Thomas,10,Rhys Skinner,Fly Half,Backs
Weybridge Vandals (A),1st,2023/24,Counties 1 Surrey/Sussex,League,Weybridge Vandals,A,26,71,L,Ryland Thomas,Connor Leggat,,10,Oli Billin,Fly Half,Backs
Hove (H),1st,2023/24,Counties 1 Surrey/Sussex,League,Hove,H,13,15,L,Connor Leggat,Aaron Boczek,Sam Musgrave,10,Oli Billin,Fly Half,Backs
Twickenham (A),1st,2023/24,Counties 1 Surrey/Sussex,League,Twickenham,A,10,35,L,Ryland Thomas,,,10,Oli Billin,Fly Half,Backs
Dover (A),1st,2023/24,Counties 1 Plate,Cup,Dover,A,42,36,W,Ryland Thomas,,,10,Oli Billin,Fly Half,Backs
Bromley (A),1st,2023/24,Counties 1 Plate,Cup,Bromley,A,15,36,L,Ryland Thomas,,,10,Oli Billin,Fly Half,Backs
London Cornish (H),1st,2024/25,Counties 1 Surrey/Sussex,League,London Cornish,H,16,18,L,Ryland Thomas,Chris May-Miller,,10,Luke Maker,Fly Half,Backs
Old Haileyburians (A),1st,2024/25,Counties 1 Surrey/Sussex,League,Old Haileyburians,A,0,60,L,Ben Tottman,,,10,Luke Maker,Fly Half,Backs
Haywards Heath (H),1st,2024/25,Counties 1 Surrey/Sussex,League,Haywards Heath,H,24,19,W,Ryland Thomas,Chris May-Miller,,10,Luke Maker,Fly Half,Backs
Weybridge Vandals (A),1st,2024/25,Counties 1 Surrey/Sussex,League,Weybridge Vandals,A,15,48,L,Ryland Thomas,Chris May-Miller,,10,Dan Poulton,Fly Half,Backs
Hove (H),1st,2024/25,Counties 1 Surrey/Sussex,League,Hove,H,21,34,L,Ryland Thomas,Chris May-Miller,,10,Luke Maker,Fly Half,Backs
Twickenham (A),1st,2024/25,Counties 1 Surrey/Sussex,League,Twickenham,A,31,41,L,Ryland Thomas,,,10,Dan Poulton,Fly Half,Backs
KCS Old Boys (H),1st,2024/25,Counties 1 Surrey/Sussex,League,KCS Old Boys,H,29,33,L,Ryland Thomas,Chris May-Miller,,10,Oli Billin,Fly Half,Backs
Eastbourne (A),1st,2024/25,Counties 1 Surrey/Sussex,League,Eastbourne,A,36,33,W,Ryland Thomas,Chris May-Miller,,10,Oli Billin,Fly Half,Backs
Trinity (H),1st,2024/25,Counties 1 Surrey/Sussex,League,Trinity,H,14,48,L,Ryland Thomas,,,10,Oli Billin,Fly Half,Backs
Old Rutlishians (H),1st,2024/25,Counties 1 Surrey/Sussex,League,Old Rutlishians,H,19,23,L,Ryland Thomas,,,10,Noah Roberts,Fly Half,Backs
Cobham (A),1st,2024/25,Counties 1 Surrey/Sussex,League,Cobham,A,7,26,L,Ryland Thomas,Sam Spriddell,,10,Noah Roberts,Fly Half,Backs
Old Haileyburians (H),1st,2024/25,Counties 1 Surrey/Sussex,League,Old Haileyburians,H,18,5,W,Chris May-Miller,,,10,Noah Roberts,Fly Half,Backs
Haywards Heath (A),1st,2024/25,Counties 1 Surrey/Sussex,League,Haywards Heath,A,5,33,L,Ryland Thomas,Sam Spriddell,,10,Noah Roberts,Fly Half,Backs
Weybridge Vandals (H),1st,2024/25,Counties 1 Surrey/Sussex,League,Weybridge Vandals,H,14,20,L,Chris May-Miller,,,10,Oli Billin,Fly Half,Backs
Twickenham (H),1st,2024/25,Counties 1 Surrey/Sussex,League,Twickenham,H,10,47,L,Chris May-Miller,,,10,Oli Billin,Fly Half,Backs
KCS Old Boys (A),1st,2024/25,Counties 1 Surrey/Sussex,League,KCS Old Boys,A,22,27,L,John Peaty,Sam Spriddell,,10,Oli Billin,Fly Half,Backs
Hove (A),1st,2024/25,Counties 1 Surrey/Sussex,League,Hove,A,11,18,L,Chris May-Miller,John Peaty,,10,Dan Poulton,Fly Half,Backs
Eastbourne (H),1st,2024/25,Counties 1 Surrey/Sussex,League,Eastbourne,H,14,15,L,Ryland Thomas,Chris May-Miller,,10,Noah Merrion,Fly Half,Backs
Croydon (H),2nd,2021/22,Friendly,Friendly,Croydon,H,34,12,W,Ben Watkinson,Jordan Hollis,,10,Jordan Hollis,Fly Half,Backs
Worthing Azurians (H),2nd,2021/22,Friendly,Friendly,Worthing Azurians,H,12,31,L,Ben Watkinson,Chris Taylor,,10,Chris Taylor,Fly Half,Backs
Royals (H),2nd,2021/22,Sussex 3,League,Royals,H,24,27,L,Ben Watkinson,Jordan Hollis,,10,Jordan Hollis,Fly Half,Backs
Newick (A),2nd,2021/22,Sussex 3,League,Newick,A,43,10,W,Ben Watkinson,Richard Dodgson,,10,Ali Moffatt,Fly Half,Backs
Brighton & SM (H),2nd,2021/22,Sussex 3,League,Brighton & SM,H,58,26,W,Ben Watkinson,Richard Dodgson,,10,Ben Gray,Fly Half,Backs
Hove 3rd XV (A),2nd,2021/22,Friendly,Friendly,Hove 3rd XV,A,22,29,L,Ben Watkinson,,,10,Ali Moffatt,Fly Half,Backs
Crowborough (A),2nd,2021/22,Sussex 3,League,Crowborough,A,25,5,W,Richard Dodgson,George Beet,,10,Ali Moffatt,Fly Half,Backs
Midhurst (A),2nd,2021/22,Sussex 3,League,Midhurst,A,29,0,W,Ali Moffatt,Pete Morley,,10,Toby Rowe,Fly Half,Backs
Rye (H),2nd,2021/22,Sussex 3,League,Rye,H,20,12,W,Ben Watkinson,Ali Moffatt,,10,Toby Rowe,Fly Half,Backs
Horsham III (A),2nd,2021/22,Sussex 3,League,Horsham III,A,15,22,L,Ben Watkinson,,,10,Ali Moffatt,Fly Half,Backs
Crawley II (H),2nd,2021/22,Sussex 3,League,Crawley II,H,23,13,W,Ben Watkinson,Andy Blackmore,,10,Matt Brooke,Fly Half,Backs
Midhurst (H),2nd,2021/22,Sussex 3,League,Midhurst,H,24,5,W,Ben Watkinson,Andy Blackmore,,10,Toby Rowe,Fly Half,Backs
Horsham III (H),2nd,2021/22,Sussex 3,League,Horsham III,H,22,0,W,Ali Moffatt,Toby Rowe,,10,Toby Rowe,Fly Half,Backs
Rye (A),2nd,2021/22,Sussex 3,League,Rye,A,32,10,W,Ben Watkinson,Toby Rowe,,10,Toby Rowe,Fly Half,Backs
Crawley II (A),2nd,2021/22,Sussex 3,League,Crawley II,A,38,20,W,Ben Watkinson,Matt Marriott,,10,Jake Bond,Fly Half,Backs
St Francis (H),2nd,2021/22,Friendly,Friendly,St Francis,H,46,24,W,,,,10,Ryan Morlen,Fly Half,Backs
Rye (H)2,2nd,2021/22,Sussex Vase,Cup,Rye,H,52,10,W,Ali Moffatt,,,10,Toby Rowe,Fly Half,Backs
Hove III (A),2nd,2021/22,Sussex Vase,Cup,Hove III,A,29,20,W,Toby Rowe,Ben Watkinson,,10,Toby Rowe,Fly Half,Backs
Haywards Heath (H),2nd,2022/23,Friendly,Friendly,Haywards Heath,H,12,55,L,Ben Watkinson,,,10,Fin Edwards,Fly Half,Backs
Eastbourne (H),2nd,2022/23,Counties 4 Sussex,League,Eastbourne,H,21,20,W,Ben Watkinson,Sam Spriddell,,10,Ollie Adams,Fly Half,Backs
Uckfield (A),2nd,2022/23,Counties 4 Sussex,League,Uckfield,A,21,17,W,Ben Watkinson,Richard Dodgson,,10,Fin Edwards,Fly Half,Backs
St Francis (H),2nd,2022/23,Counties 4 Sussex,League,St Francis,H,17,17,D,Richard Dodgson,Ben Watkinson,,10,Fin Edwards,Fly Half,Backs
Heathfield & Waldron (A),2nd,2022/23,Counties 4 Sussex,League,Heathfield & Waldron,A,7,22,L,Ben Watkinson,,,10,Chris Taylor,Fly Half,Backs
Crowborough (H),2nd,2022/23,Friendly,Friendly,Crowborough,H,43,19,W,Ben Watkinson,James Jenkins,,10,Chris Taylor,Fly Half,Backs
Eastbourne (A),2nd,2022/23,Counties 4 Sussex,League,Eastbourne,A,24,39,L,Ben Watkinson,,,10,Fin Edwards,Fly Half,Backs
St Francis (A),2nd,2022/23,Counties 4 Sussex,League,St Francis,A,38,19,W,Ben Watkinson,,,10,Ben Gray,Fly Half,Backs
Uckfield (H),2nd,2022/23,Counties 4 Sussex,League,Uckfield,H,52,10,W,Ben Watkinson,,,10,Noah Roberts,Fly Half,Backs
Heathfield & Waldron (H),2nd,2022/23,Counties 4 Sussex,League,Heathfield & Waldron,H,17,32,L,Ben Watkinson,Richard Dodgson,,10,Chris Taylor,Fly Half,Backs
Hove (A),2nd,2022/23,Counties 4 Sussex,League,Hove,A,24,57,L,Ben Watkinson,,,10,Chris Taylor,Fly Half,Backs
Pulborough (H),2nd,2022/23,Sussex Vase,Cup,Pulborough,H,19,26,L,Richard Dodgson,,,10,Noah Roberts,Fly Half,Backs
Uckfield (A),2nd,2023/24,Friendly,Friendly,Uckfield,A,32,26,W,Mark Oliver,,,10,Noah Roberts,Fly Half,Backs
Shoreham (H),2nd,2023/24,Counties 4 Sussex,League,Shoreham,H,63,0,W,Ben Watkinson,Jack Andrews,,10,Noah Roberts,Fly Half,Backs
Holbrook (A),2nd,2023/24,Counties 4 Sussex,League,Holbrook,A,52,19,W,Ryan Morlen,Tim Morris,,10,Tom Marr,Fly Half,Backs
St Francis (H),2nd,2023/24,Counties 4 Sussex,League,St Francis,H,24,7,W,Mark Oliver,Tim Morris,,10,Tom Marr,Fly Half,Backs
Newick (A),2nd,2023/24,Counties 4 Sussex,League,Newick,A,25,10,W,Ben Watkinson,Jack Andrews,,10,Fin Fisher,Fly Half,Backs
Uckfield (A)2,2nd,2023/24,Counties 4 Sussex,League,Uckfield,A,80,0,W,Ben Watkinson,Mark Oliver,,10,Fin Fisher,Fly Half,Backs
Hellingly (H),2nd,2023/24,Counties 4 Sussex,League,Hellingly,H,34,0,W,Ben Watkinson,James Funnell,,10,Tom Marr,Fly Half,Backs
Shoreham (A),2nd,2023/24,Friendly,Friendly,Shoreham,A,36,14,W,Ben Watkinson,Archie Vickers,,10,Rhys Skinner,Fly Half,Backs
Heathfield & Waldron (H),2nd,2023/24,Counties 4 Sussex,League,Heathfield & Waldron,H,20,10,W,Ben Watkinson,,,10,Rhys Skinner,Fly Half,Backs
Crowborough (H),2nd,2023/24,Counties 4 Sussex,League,Crowborough,H,10,7,W,Ben Watkinson,Max Crawley-Moore,,10,Rhys Skinner,Fly Half,Backs
Hellingly (A),2nd,2023/24,Counties 4 Sussex,League,Hellingly,A,48,14,W,Max Crawley-Moore,,,10,Rhys Skinner,Fly Half,Backs
Newick (H),2nd,2023/24,Counties 4 Sussex,League,Newick,H,31,7,W,Ben Watkinson,Max Crawley-Moore,,10,Rhys Skinner,Fly Half,Backs
West Sussex Emergency Services (H),2nd,2023/24,Friendly,Friendly,West Sussex Emergency Services,H,7,0,W,,,,10,Ben Gray,Fly Half,Backs
Littlehampton (A),2nd,2023/24,Counties 4 Sussex,League,Littlehampton,A,43,5,W,Ben Watkinson,Max Crawley-Moore,,10,Rhys Skinner,Fly Half,Backs
Midhurst (A),2nd,2023/24,Counties 4 Sussex,League,Midhurst,A,29,17,W,Ben Watkinson,Max Crawley-Moore,,10,Rhys Skinner,Fly Half,Backs
Warlingham (H),2nd,2024/25,Friendly,Friendly,Warlingham,H,24,21,W,Pete Morley,George Beet,Sam Lindsay-McCall,10,Luke Maker,Fly Half,Backs
Haywards Heath (H),2nd,2024/25,Counties 3 Sussex,League,Haywards Heath,H,53,5,W,George Beet,,,10,Mark Lewis,Fly Half,Backs
Barns Green (H),2nd,2024/25,Counties 3 Sussex,League,Barns Green,H,24,31,L,Tim Morris,,,10,Ben Gray,Fly Half,Backs
Jersey Royals (A),2nd,2024/25,Counties 3 Sussex,League,Jersey Royals,A,18,31,L,,,,10,Ben Gray,Fly Half,Backs
Eastbourne (H),2nd,2024/25,Counties 3 Sussex,League,Eastbourne,H,29,22,W,John Peaty,,,10,Fin Fisher,Fly Half,Backs
Eastbourne (A),2nd,2024/25,Friendly,Friendly,Eastbourne,A,26,19,W,Pete Morley,,,10,Mark Lewis,Fly Half,Backs
Old Rutlishians (H),2nd,2024/25,Friendly,Friendly,Old Rutlishians,H,7,24,L,Pete Morley,,,10,Ben Green,Fly Half,Backs
Newick (A),2nd,2024/25,Counties 3 Sussex,League,Newick,A,27,10,W,Pete Morley,,,10,Noah Roberts,Fly Half,Backs
Horsham (A),2nd,2024/25,Counties 3 Sussex,League,Horsham,A,7,41,L,Pete Morley,,,10,Sam Johnston,Fly Half,Backs
Barns Green (A),2nd,2024/25,Counties 3 Sussex,League,Barns Green,A,0,27,L,Pete Morley,,,10,Patrick Thomson,Fly Half,Backs
Haywards Heath (A),2nd,2024/25,Counties 3 Sussex,League,Haywards Heath,A,5,26,L,George Beet,,,10,Ali Moffatt,Fly Half,Backs
Burgess Hill (H),2nd,2024/25,Counties 3 Sussex,League,Burgess Hill,H,15,8,W,Max Crawley-Moore,,,10,Rhys Skinner,Fly Half,Backs
Eastbourne (A)2,2nd,2024/25,Counties 3 Sussex,League,Eastbourne,A,10,35,L,Max Crawley-Moore,,,10,Mark Lewis,Fly Half,Backs
Jersey Royals (H),2nd,2024/25,Counties 3 Sussex,League,Jersey Royals,H,27,17,W,Rory Evans,,,10,Noah Merrion,Fly Half,Backs
Crawley (H),1st,2021/22,Friendly,Friendly,Crawley,H,34,12,W,Jack Andrews,James Funnell,,11,Jake Radcliffe,Back Three,Backs
University of Brighton (A),1st,2021/22,Friendly,Friendly,University of Brighton,A,0,43,L,Jack Andrews,James Funnell,,11,Chris Taylor,Back Three,Backs
Metropolitan Police (H),1st,2021/22,Friendly,Friendly,Metropolitan Police,H,29,28,W,Jack Andrews,,,11,Jake Radcliffe,Back Three,Backs
London Irish (A),1st,2021/22,Friendly,Friendly,London Irish,A,10,33,L,Jack Andrews,Sam Lindsay-McCall,,11,Jake Radcliffe,Back Three,Backs
Horsham (A),1st,2021/22,Friendly,Friendly,Horsham,A,26,56,L,Jack Andrews,James Funnell,,11,Sam Montagu,Back Three,Backs
Purley John Fisher (H),1st,2021/22,Friendly,Friendly,Purley John Fisher,H,19,33,L,Jack Andrews,James Funnell,,11,Jake Radcliffe,Back Three,Backs
Eastbourne (H),1st,2021/22,Sussex 1,League,Eastbourne,H,47,0,W,Jack Andrews,,,11,Jake Radcliffe,Back Three,Backs
Hellingly (A),1st,2021/22,Sussex 1,League,Hellingly,A,27,12,W,Jack Andrews,James Funnell,,11,Fergus Wood,Back Three,Backs
Burgess Hill (H),1st,2021/22,Sussex 1,League,Burgess Hill,H,64,15,W,Jack Andrews,James Funnell,,11,Jake Radcliffe,Back Three,Backs
Lewes (H),1st,2021/22,Sussex 1,League,Lewes,H,87,10,W,Max Crawley-Moore,,,11,Jake Radcliffe,Back Three,Backs
Uckfield (H),1st,2021/22,Sussex 1,League,Uckfield,H,43,0,W,Max Crawley-Moore,John Peaty,,11,Jake Radcliffe,Back Three,Backs
Seaford (A),1st,2021/22,Sussex 1,League,Seaford,A,36,21,W,Max Crawley-Moore,John Peaty,,11,Jake Radcliffe,Back Three,Backs
Horsham (H),1st,2021/22,Friendly,Friendly,Horsham,H,44,26,W,Max Crawley-Moore,John Peaty,,11,Jack Skipworth,Back Three,Backs
Lewes (A),1st,2021/22,Sussex 1,League,Lewes,A,36,12,W,Max Crawley-Moore,,,11,Fergus Wood,Back Three,Backs
Uckfield (A),1st,2021/22,Sussex 1,League,Uckfield,A,21,19,W,Max Crawley-Moore,,,11,Ali Moffatt,Back Three,Backs
Seaford (H),1st,2021/22,Sussex 1,League,Seaford,H,67,5,W,Max Crawley-Moore,John Peaty,,11,Archie Neill,Back Three,Backs
Eastbourne (A),1st,2021/22,Sussex 1,League,Eastbourne,A,36,3,W,Max Crawley-Moore,,,11,Jake Radcliffe,Back Three,Backs
Burgess Hill (A),1st,2021/22,Sussex 1,League,Burgess Hill,A,64,30,W,Max Crawley-Moore,John Peaty,,11,Jake Radcliffe,Back Three,Backs
Eastbourne (A)2,1st,2021/22,Sussex Cup,Cup,Eastbourne,A,35,31,W,Max Crawley-Moore,,,11,Jake Radcliffe,Back Three,Backs
